EntrezGeneSymbol;Target;TargetFullName;SomaId
NTRK2;TrkB;BDNF/NT-3 growth factors receptor;SL004160
VEGFA;VEGF121;Vascular endothelial growth factor A, isoform 121;SL003310
ANG;Angiogenin;Angiogenin;SL000003
C3;C3d;Complement C3d fragment;SL003362
F9;Coagulation Factor IX;Coagulation factor IX;SL000357
F10;Coagulation Factor X;Coagulation Factor X;SL000360
GDF2;GDF2;Growth/differentiation factor 2;SL007756
INS;Insulin;Insulin;SL000021
CCL7;MCP-3;C-C motif chemokine 7;SL000516
WNT7A;WNT7A;Protein Wnt-7a;SL009951
POMC;ACTH;Corticotropin;SL003461
GCG;Glucagon;Glucagon;SL000433
C3;C3a;C3a anaphylatoxin;SL000313
PPP3CA PPP3R1;Calcineurin;Calcineurin;SL003657
CASP2;Caspase-2;Caspase-2;SL003710
COTL1;Coactosin-like protein;Coactosin-like protein;SL004814
F5;Coagulation Factor V;Coagulation Factor V;SL000622
FGA FGB FGG;D-dimer;D-dimer;SL000022
ENG;Endoglin;Endoglin;SL004482
LGALS8;Galectin-8;Galectin-8;SL005167
PLA2G1B;GIB;Phospholipase A2;SL004064
GSTP1;Glutathione S-transferase Pi;Glutathione S-transferase P;SL003643
GOT1;GOT1;Aspartate aminotransferase, cytoplasmic;SL000280
CCL16;HCC-4;C-C motif chemokine 16;SL003300
CGA CGB;HCG;Human Chorionic Gonadotropin;SL001766
HBA1 HBB;Hemoglobin;Hemoglobin;SL000836
IGHD  IGK@ IGL@;IgD;Immunoglobulin D;SL000460
ITGAV ITGB5;Integrin aVb5;Integrin alpha-V: beta-5 complex;SL003182
LIFR;LIF sR;Leukemia inhibitory factor receptor;SL004714
LYZ;Lysozyme;Lysozyme C;SL000510
CCL19;MIP-3b;C-C motif chemokine 19;SL003189
AMH;MIS;Muellerian-inhibiting factor;SL005201
MMP1;MMP-1;Interstitial collagenase;SL000521
MMP13;MMP-13;Collagenase 3;SL000523
SHBG;SHBG;Sex hormone-binding globulin;SL005102
STC1;Stanniocalcin-1;Stanniocalcin-1;SL005789
F3;TF;Tissue Factor;SL000024
EREG;EPI;Epiregulin;SL000139
RPSA;40S ribosomal protein SA;40S ribosomal protein SA;SL004605
AGR2;AGR2;Anterior gradient protein 2 homolog;SL004925
ANXA1;annexin I;Annexin A1;SL004208
ANXA2;annexin II;Annexin A2;SL004209
CDNF;ARMEL;Cerebral dopamine neurotrophic factor;SL012538
ARPP19;ARP19;cAMP-regulated phosphoprotein 19;SL011708
ERAP1;ARTS1;Endoplasmic reticulum aminopeptidase 1;SL007729
ATP5B;ATP synthase beta chain;ATP synthase subunit beta, mitochondrial;SL005675
C1QBP;C1QBP;Complement component 1 Q subcomponent-binding protein, mitochondrial;SL008177
CAPG;CAPG;Macrophage-capping protein;SL008099
CA1;Carbonic anhydrase I;Carbonic anhydrase 1;SL004866
CA2;carbonic anhydrase II;Carbonic anhydrase 2;SL000339
CTSZ;CATZ;Cathepsin Z;SL008380
BIRC3;cIAP-2;Baculoviral IAP repeat-containing protein 3;SL003728
CRK;CRK;Adapter molecule crk;SL013240
DBNL;DBNL;Drebrin-like protein;SL011628
DPT;DERM;Dermatopontin;SL008178
DSC3;DSC3;Desmocollin-3;SL008709
PI3;Elafin;Elafin;SL004458
ERP29;ERP29;Endoplasmic reticulum resident protein 29;SL003522
ESD;Esterase D;S-formylglutathione hydrolase;SL006378
FABP5;FABPE;Fatty acid-binding protein, epidermal;SL005352
PTK2;FAK1;Focal adhesion kinase 1;SL012248
FCAR;FCAR;Immunoglobulin alpha Fc receptor;SL010373
FGFR4;FGFR4;Fibroblast growth factor receptor 4;SL002036
FGG;Fibrinogen g-chain dimer;Fibrinogen gamma chain;SL003341
GP1BA;GP1BA;Platelet glycoprotein Ib alpha chain;SL006460
GPC5;GPC5;Glypican-5;SL012469
GRN;GRN;Granulins;SL007173
GSTA3;GSTA3;Glutathione S-transferase A3;SL000670
HNRNPK;hnRNP K;Heterogeneous nuclear ribonucleoprotein K;SL002756
HPGD;HPG-;15-hydroxyprostaglandin dehydrogenase [NAD(+)];SL003930
HRG;HRG;Histidine-rich glycoprotein;SL006448
EIF4A3;IF4A3;Eukaryotic initiation factor 4A-III;SL011616
JAK2;JAK2;Tyrosine-protein kinase JAK2;SL007025
LGALS3BP;LG3BP;Galectin-3-binding protein;SL006522
SCGB2A1;Mammaglobin 2;Mammaglobin-B;SL001973
MMP14;MMP-14;Matrix metalloproteinase-14;SL002646
MAPK11;MK11;Mitogen-activated protein kinase 11;SL007453
MAPK12;MK12;Mitogen-activated protein kinase 12;SL007281
MAPK13;MK13;Mitogen-activated protein kinase 13;SL006993
MAPK14;MAPK14;Mitogen-activated protein kinase 14;SL006920
SOD2;Mn SOD;Superoxide dismutase [Mn], mitochondrial;SL001815
MSN;Moesin;Moesin;SL005846
NAMPT;PBEF;Nicotinamide phosphoribosyltransferase;SL003685
AK1;Myokinase, human;Adenylate kinase isoenzyme 1;SL004296
CLIC1;NCC27;Chloride intracellular channel protein 1;SL004915
NCK1;NCK1;Cytoplasmic protein NCK1;SL006091
PLA2G7;PAFAH;Platelet-activating factor acetylhydrolase;SL003440
PARK7;PARK7;Protein DJ-1;SL008933
PRDX5;Peroxiredoxin-5;Peroxiredoxin-5, mitochondrial;SL004932
PRDX6;Peroxiredoxin-6;Peroxiredoxin-6;SL005694
UCHL1;PGP9.5;Ubiquitin carboxyl-terminal hydrolase isozyme L1;SL002803
PGK1;phosphoglycerate kinase 1;Phosphoglycerate kinase 1;SL003653
PPA1;PPase;Inorganic pyrophosphatase;SL004914
PSME1;PSME1;Proteasome activator complex subunit 1;SL008176
ADSL;PUR8;Adenylosuccinate lyase;SL009792
RB1;Rb;Retinoblastoma-associated protein;SL002522
RPS3;RS3;40S ribosomal protein S3;SL008059
CD163;sCD163;Scavenger receptor cysteine-rich type 1 protein M130;SL005764
FAP;SEPR;Seprase;SL006528
SIRT2;SIRT2;NAD-dependent protein deacetylase sirtuin-2;SL006629
SPTAN1;SPTA2;Spectrin alpha chain, non-erythrocytic 1;SL008190
SSRP1;SSRP1;FACT complex subunit SSRP1;SL009868
TPM1;Tropomyosin 1 alpha chain;Tropomyosin alpha-1 chain;SL004737
PRSS2;Trypsin 2;Trypsin-2;SL010388
TYMS;TS;Thymidylate synthase;SL000142
TNFAIP6;TSG-6;Tumor necrosis factor-inducible gene 6 protein;SL004782
AMHR2;AMHR2;Anti-Muellerian hormone type-2 receptor;SL007464
CD274;B7-H1;Programmed cell death 1 ligand 1;SL004852
ICOSLG;B7-H2;ICOS ligand;SL004853
CD226;CD226;CD226 antigen;SL011100
CD300C;CLM6;CMRF35-like molecule 6;SL014270
CRTAM;CRTAM;Cytotoxic and regulatory T-cell molecule;SL014208
CD55;DAF;Complement decay-accelerating factor;SL004556
TNFRSF6B;DcR3;Tumor necrosis factor receptor superfamily member 6B;SL003739
DSG2;Desmoglein-2;Desmoglein-2;SL004857
TNFRSF25;DR3;Tumor necrosis factor receptor superfamily member 25;SL004791
EPHA10;EPHAA;Ephrin type-A receptor 10;SL014294
EPHB2;EPHB2;Ephrin type-B receptor 2;SL007179
EPHB6;EphB6;Ephrin type-B receptor 6;SL008414
TNFRSF18;GITR;Tumor necrosis factor receptor superfamily member 18;SL004859
GPNMB;GPNMB;Transmembrane glycoprotein NMB;SL007429
IL1RAPL2;IL-1 sR9;X-linked interleukin-1 receptor accessory protein-like 2;SL004849
IL17RB;IL-17B R;interleukin-17 receptor B;SL005174
IL20RA;IL-20 Ra;Interleukin-20 receptor subunit alpha;SL005181
IL22RA2;IL-22BP;Interleukin-22 receptor subunit alpha-2;SL005183
IL23R;IL-23 R;Interleukin-23 receptor;SL005185
IL7R;IL-7 Ra;Interleukin-7 receptor subunit alpha;SL005189
LILRB1;ILT-2;Leukocyte immunoglobulin-like receptor subfamily B member 1;SL005190
LILRB2;ILT-4;Leukocyte immunoglobulin-like receptor subfamily B member 2;SL005191
JAG1;JAG1;Protein jagged-1;SL007328
JAG2;JAG2;Protein jagged-2;SL007774
AMICA1;JAML1;Junctional adhesion molecule-like;SL009202
KIR2DL4;KI2L4;Killer cell immunoglobulin-like receptor 2DL4;SL012698
KIR3DL2;KI3L2;Killer cell immunoglobulin-like receptor 3DL2;SL014269
KIR3DS1;KI3S1;Killer cell immunoglobulin-like receptor 3DS1;SL014289
KLRF1;KLRF1;Killer cell lectin-like receptor subfamily F member 1;SL014209
LAG3;LAG-3;Lymphocyte activation gene 3 protein;SL005195
SCARB2;LIMP II;Lysosome membrane protein 2;SL005197
MICB;MICB;MHC class I polypeptide-related sequence B;SL005200
CD200R1;MO2R1;Cell surface glycoprotein CD200 receptor 1;SL014288
NCR1;NKp46;Natural cytotoxicity triggering receptor 1;SL005207
RTN4R;Nogo Receptor;Reticulon-4 receptor;SL005208
NOTCH2;NOTC2;Neurogenic locus notch homolog protein 2;SL007356
NOTCH1;Notch 1;Neurogenic locus notch homolog protein 1;SL005703
NOTCH3;Notch-3;Neurogenic locus notch homolog protein 3;SL005209
NRCAM;Nr-CAM;Neuronal cell adhesion molecule;SL005210
NRXN1;NRX1B;Neurexin-1-beta;SL009054
NRXN3;NRX3B;Neurexin-3-beta;SL008728
CD200;OX2G;OX-2 membrane glycoprotein;SL014268
PRLR;Prolactin Receptor;Prolactin receptor;SL005212
RELT;RELT;Tumor necrosis factor receptor superfamily member 19L;SL005213
ROBO2;ROBO2;Roundabout homolog 2;SL007680
ROBO3;ROBO3;Roundabout homolog 3;SL014148
RTN4;RTN4;Reticulon-4;SL008309
SEMA6A;Semaphorin-6A;Semaphorin-6A;SL005214
ICAM5;sICAM-5;Intercellular adhesion molecule 5;SL005169
SIGLEC14;SIG14;Sialic acid-binding Ig-like lectin 14;SL014292
SLAMF6;SLAF6;SLAM family member 6;SL014228
SCARF1;SREC-I;Scavenger receptor class F member 1;SL005221
SCARF2;SREC-II;Scavenger receptor class F member 2;SL005222
TNFRSF19;TAJ;Tumor necrosis factor receptor superfamily member 19;SL004863
IL27RA;TCCR;Interleukin-27 receptor subunit alpha;SL005223
TGFBR2;TGF-b R II;TGF-beta receptor type-2;SL002078
HAVCR2;TIMD3;Hepatitis A virus cellular receptor 2;SL007547
TNFRSF12A;TWEAKR;Tumor necrosis factor receptor superfamily member 12A;SL004366
UNC5C;UNC5H3;Netrin receptor UNC5C;SL005230
UNC5D;UNC5H4;Netrin receptor UNC5D;SL005231
PDE7A;PDE7A;High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A;SL011406
PRKAA1 PRKAB1  PRKAG1;AMPK a1b1g1;AMP Kinase (alpha1beta1gamma1);SL016548
KRAS;K-ras;GTPase KRas;SL002542
NMT1;NMT1;Glycylpeptide N-tetradecanoyltransferase 1;SL006476
PDE9A;PDE9A;High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A;SL016554
PPID;PPID;Peptidyl-prolyl cis-trans isomerase D;SL007373
PSME3;PSME3;Proteasome activator complex subunit 3;SL005308
GCKR;GCKR;Glucokinase regulatory protein;SL015728
CSNK2A1 CSNK2B;CK2-A1:B;Casein kinase II 2-alpha:2-beta heterotetramer;SL016550
CSNK2A2 CSNK2B;CK2-A2:B;Casein kinase II 2-alpha':2-beta heterotetramer;SL016551
PDK1;PDK1;[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial;SL006921
KIF23;KIF23;Kinesin-like protein KIF23;SL006189
IMPDH1;IMDH1;Inosine-5'-monophosphate dehydrogenase 1;SL014735
HMGCR;HMGR;3-hydroxy-3-methylglutaryl-coenzyme A reductase;SL016557
PCSK9;PCSK9;Proprotein convertase subtilisin/kexin type 9;SL012707
NR1D1;NR1D1;Nuclear receptor subfamily 1 group D member 1;SL007145
PPIE;PPIE;Peptidyl-prolyl cis-trans isomerase E;SL013928
MAP2K4;MP2K4;Dual specificity mitogen-activated protein kinase kinase 4;SL007237
MAPK9;JNK2;Mitogen-activated protein kinase 9;SL004716
PRKAA2 PRKAB2 PRKAG1;AMPK a2b2g1;AMP Kinase (alpha2beta2gamma1);SL016549
PDE2A;cGMP-stimulated PDE;cGMP-dependent 3',5'-cyclic phosphodiesterase;SL005730
PPIF;Cyclophilin F;Peptidyl-prolyl cis-trans isomerase F, mitochondrial;SL005793
STK17B;DRAK2;Serine/threonine-protein kinase 17B;SL016566
IMPDH2;IMDH2;Inosine-5'-monophosphate dehydrogenase 2;SL010928
PDE11A;PDE11;Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A;SL016555
PDE3A;PDE3A;cGMP-inhibited 3',5'-cyclic phosphodiesterase A;SL016553
PDE4D;PDE4D;cAMP-specific 3',5'-cyclic phosphodiesterase 4D;SL011404
PDE5A;PDE5A;cGMP-specific 3',5'-cyclic phosphodiesterase;SL011405
MAP3K7 TAB1;TAK1-TAB1;Mitogen-activated protein kinase kinase kinase 7:TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 fusion;SL016567
TYK2;TYK2;Non-receptor tyrosine-protein kinase TYK2;SL007181
ABL2;ABL2;Abelson tyrosine-protein kinase 2;SL010488
BCAR3;BCAR3;Breast cancer anti-estrogen resistance protein 3;SL014470
CALR;calreticulin;Calreticulin;SL003520
GRAP2;GRB2-related adapter protein 2;GRB2-related adapter protein 2;SL005725
MMP16;MMP-16;Matrix metalloproteinase-16;SL003331
SHC1;SHC1;SHC-transforming protein 1;SL014469
SLC25A18;GHC2;Mitochondrial glutamate carrier 2;SL016563
CCL11;Eotaxin;Eotaxin;SL000406
F9;Coagulation Factor IXab;Coagulation factor IXab;SL004400
ELANE;Elastase;Neutrophil elastase;SL000401
APOE;Apo E2;Apolipoprotein E (isoform E2);SL000277
F2;Prothrombin;Prothrombin;SL000558
CD70;CD70;CD70 antigen;SL007195
ANXA6;annexin VI;Annexin A6;SL003647
CD86;B7-2;T-lymphocyte activation antigen CD86;SL004131
S100A9;calgranulin B;Protein S100-A9;SL004477
CASP10;Caspase-10;Caspase-10;SL003717
CPE;CBPE;Carboxypeptidase E;SL008703
CKAP2;CKAP2;Cytoskeleton-associated protein 2;SL006675
CPNE1;CPNE1;Copine-1;SL011808
CCNB1;Cyclin B1;G2/mitotic-specific cyclin-B1;SL000130
DLL1;DLL1;Delta-like protein 1;SL006970
HNRNPA2B1;hnRNP A2/B1;Heterogeneous nuclear ribonucleoproteins A2/B1;SL004891
TNFRSF14;HVEM;Tumor necrosis factor receptor superfamily member 14;SL004145
KRT18;Keratin 18;Keratin, type I cytoskeletal 18;SL000655
TNFSF14;LIGHT;Tumor necrosis factor ligand superfamily member 14;SL004648
MIF;MIF;Macrophage migration inhibitory factor;SL003080
NLGN4X;NLGNX;Neuroligin-4, X-linked;SL014113
OMD;OMD;Osteomodulin;SL008574
PIM1;PIM1;Serine/threonine-protein kinase pim-1;SL002702
SEMA3E;Semaphorin 3E;Semaphorin-3E;SL010470
SET;SET;Protein SET;SL007336
TNFRSF13C;BAFF Receptor;Tumor necrosis factor receptor superfamily member 13C;SL004671
BRF1;BRF-1;Transcription factor IIIB 90 kDa subunit;SL016130
LEPR;sLeptin R;Leptin receptor;SL003184
TNFRSF21;DR6;Tumor necrosis factor receptor superfamily member 21;SL004871
CDH15;CAD15;Cadherin-15;SL007295
CD27;CD27;CD27 antigen;SL004134
TNFRSF11A;RANK;Tumor necrosis factor receptor superfamily member 11A;SL003690
TNNI2;Troponin I, skeletal, fast twitch;Troponin I, fast skeletal muscle;SL004594
TNNI3;Troponin I;Troponin I, cardiac muscle;SL001761
NPPA;ANP;Atrial natriuretic factor;SL002505
ALCAM;ALCAM;CD166 antigen;SL003166
CST1;CYTN;Cystatin-SN;SL010456
IL17RC;IL-17 RC;Interleukin-17 receptor C;SL011068
PRKCB;PKC-B-II;Protein kinase C beta type (splice variant beta-II);SL000553
PRKCG;PKC-G;Protein kinase C gamma type;SL000556
SLAMF7;SLAF7;SLAM family member 7;SL016928
SRC;SRCN1;Proto-oncogene tyrosine-protein kinase Src;SL010516
STIP1;Stress-induced-phosphoprotein 1;Stress-induced-phosphoprotein 1;SL010250
SPOCK1;Testican-1;Testican-1;SL010384
SPOCK2;Testican-2;Testican-2;SL010471
SNRPF;RUXF;Small nuclear ribonucleoprotein F;SL009790
